id,StuId,Class,Sex,CHI611,MATH611,ENG611,CHI612,MATH612,ENG612,CHI621,MATH621,ENG621,CHI622,MATH622,ENG622,CHI711,MATH711,ENG711,CHI712,MATH712,ENG712,CHI721,MATH721,ENG721,CHI722,MATH722,ENG722,CHI811,MATH811,ENG811,PHY811,CHI812,MATH812,ENG812,PHY812,CHI821,MATH821,ENG821,PHY821,CHI822,MATH822,ENG822,PHY822,CHI911,MATH911,ENG911,PHY911,CHE911,CHI912,MATH912,ENG912,PHY912,CHE912,CHI921,MATH921,ENG921,PHY921,CHE921
1,A01,A,F,75.0,83.0,95.0,77.0,95.0,96.0,89.0,92.0,98.0,82.0,91.0,98.0,80.0,89.0,93.0,83.0,100.0,95.5,83.0,94.0,99.0,79.0,93.0,92.0,83.0,96.0,95.0,89.0,86.0,89.0,95.0,84.0,80.0,85.0,92.0,85.0,60.0,74.0,74.0,91.0,83.33333333333333,86.66666666666667,90.66666666666667,72.0,51.0,86.66666666666667,89.33333333333333,91.0,88.0,94.0,80.0,91.33333333333333,93.33333333333333,79.0,57.0
2,A02,A,F,88.0,100.0,90.0,88.0,100.0,95.0,91.0,96.0,96.0,86.0,94.0,96.0,85.0,94.0,94.0,88.0,95.0,98.0,82.0,94.0,96.0,83.0,93.0,97.0,93.0,97.0,94.0,97.0,89.0,96.0,100.0,91.0,87.0,82.0,93.0,90.0,70.0,78.66666666666667,73.66666666666667,96.0,88.0,100.0,91.33333333333333,82.0,58.0,88.0,97.33333333333333,94.66666666666667,97.0,96.0,89.33333333333333,92.0,97.0,84.0,57.0
3,A03,A,F,85.0,97.0,91.0,87.0,96.0,97.0,93.0,98.0,97.0,88.0,93.0,97.0,84.0,94.0,95.0,91.0,98.0,98.0,78.0,95.0,98.0,83.0,93.0,99.0,93.0,97.0,94.0,94.0,88.0,94.0,99.0,86.0,84.0,89.0,96.0,97.0,69.33333333333333,76.66666666666667,78.33333333333333,97.0,84.0,96.0,90.66666666666667,78.0,57.0,88.0,97.33333333333333,96.33333333333333,96.0,95.0,89.33333333333333,96.66666666666667,97.33333333333333,86.0,57.0
4,A04,A,F,83.0,97.0,97.0,83.0,94.0,97.0,86.0,92.0,97.0,89.0,86.0,95.0,83.0,92.0,91.0,82.0,97.0,95.5,83.0,90.0,94.0,79.0,90.0,93.0,89.0,95.0,93.0,95.0,88.0,91.0,93.0,80.0,80.0,92.0,93.0,94.0,61.333333333333336,79.33333333333333,72.66666666666667,93.0,83.33333333333333,89.33333333333333,90.0,83.0,53.0,88.66666666666667,86.0,94.66666666666667,84.0,94.0,80.66666666666667,90.66666666666667,93.33333333333333,83.0,53.0
5,A05,A,F,81.0,89.0,94.0,84.0,89.0,90.0,86.0,94.0,97.0,84.0,88.0,95.0,86.0,87.0,92.0,78.0,94.0,95.0,80.0,89.0,91.0,79.0,86.0,91.0,87.0,90.0,89.0,84.0,86.0,85.0,94.0,85.0,75.0,76.0,92.0,78.0,60.0,62.666666666666664,73.33333333333333,89.0,84.66666666666667,94.0,81.33333333333333,73.0,48.0,84.66666666666667,91.33333333333333,90.66666666666667,87.0,92.0,82.66666666666667,93.33333333333333,85.33333333333333,79.0,54.0
7,A07,A,F,77.0,95.0,95.0,83.0,94.0,93.0,85.0,88.0,97.0,88.0,93.0,95.0,85.0,94.0,93.0,86.0,95.0,95.5,84.0,84.0,96.0,81.0,87.0,95.0,93.0,93.0,93.0,96.0,91.0,91.0,95.0,85.0,82.0,70.0,95.0,76.0,67.33333333333333,73.33333333333333,76.66666666666667,87.0,85.33333333333333,89.33333333333333,88.0,74.0,50.0,88.66666666666667,98.0,95.66666666666667,77.0,93.0,82.0,90.66666666666667,93.33333333333333,78.0,50.0
8,A08,A,F,75.0,93.0,95.0,83.0,89.0,89.0,86.0,94.0,97.0,84.0,93.0,92.0,81.0,89.0,89.0,85.0,96.0,87.5,77.0,93.0,91.0,74.0,89.0,90.0,87.0,87.0,91.0,96.0,86.0,88.0,93.0,94.0,81.0,73.0,88.0,80.0,64.0,72.66666666666667,74.33333333333333,93.0,79.33333333333333,79.33333333333333,87.33333333333333,77.0,52.0,86.0,90.66666666666667,90.66666666666667,80.0,95.0,81.33333333333333,88.0,95.66666666666667,79.0,51.0
9,A09,A,F,83.0,97.0,98.0,81.0,97.0,94.0,85.0,95.0,96.0,88.0,89.0,99.0,82.0,95.0,95.0,94.0,94.0,95.5,85.0,92.0,98.0,85.0,91.0,96.0,90.0,98.0,96.0,98.0,91.0,92.0,99.0,90.0,84.0,90.0,98.0,89.0,72.0,76.0,77.0,96.0,90.0,89.33333333333333,89.33333333333333,81.0,54.0,92.66666666666667,93.33333333333333,98.33333333333333,91.0,95.0,84.0,88.0,97.0,87.0,55.0
10,A10,A,F,82.0,91.0,90.0,79.0,86.0,89.0,77.0,89.0,85.0,79.0,89.0,89.0,82.0,80.0,87.0,80.0,93.0,84.0,76.0,80.0,82.0,82.0,77.0,88.0,85.0,85.0,85.0,89.0,88.0,87.0,87.0,74.0,76.0,89.0,87.0,72.0,64.0,70.66666666666667,71.0,86.0,80.0,90.0,80.66666666666667,70.0,48.0,81.33333333333333,90.66666666666667,89.33333333333333,87.0,85.0,82.0,92.0,90.66666666666667,71.0,52.0
11,A11,A,F,71.0,89.0,80.0,81.0,95.0,91.0,84.0,94.0,91.0,82.0,93.0,85.0,88.0,94.0,86.0,80.0,91.0,92.5,78.0,91.0,90.0,77.0,80.0,85.0,90.0,88.0,88.0,95.0,86.0,87.0,87.0,88.0,79.0,89.0,83.0,94.0,60.0,75.33333333333333,69.33333333333333,95.0,86.0,92.0,78.66666666666667,82.0,53.0,84.0,94.66666666666667,87.66666666666667,97.0,92.0,78.66666666666667,90.0,88.66666666666667,86.0,49.0
13,A13,A,F,82.0,90.0,79.0,80.0,85.0,87.0,87.0,90.0,94.0,83.0,93.0,85.0,79.0,92.0,80.0,80.0,84.0,91.5,82.0,93.0,85.0,75.0,80.0,84.0,85.0,83.0,86.0,86.0,86.0,80.0,90.0,79.0,79.0,61.0,79.0,72.0,63.333333333333336,68.0,67.66666666666667,85.0,80.66666666666667,94.0,80.0,74.0,53.0,81.33333333333333,91.33333333333333,87.66666666666667,78.0,92.0,80.0,84.66666666666667,92.66666666666667,78.0,53.0
14,A14,A,F,74.0,97.0,93.0,84.0,87.0,88.0,82.0,90.0,94.0,80.0,88.0,92.0,83.0,89.0,85.0,82.0,86.0,91.0,78.0,90.0,91.0,78.0,89.0,94.0,88.0,90.0,88.0,92.0,82.0,85.0,92.0,78.0,84.0,91.0,96.0,72.0,62.0,68.66666666666667,72.33333333333333,88.0,83.33333333333333,80.66666666666667,90.66666666666667,75.0,41.0,82.66666666666667,92.66666666666667,90.33333333333333,66.0,89.0,81.33333333333333,78.0,88.66666666666667,79.0,45.0
